Date,Time_MPP_h,Efficiency (%),Power (W),Voltage (V),Current (mA cm-2),Temperature (°C),Sun (-),Humidity (%)
,1.9118463888888888,5.801219805633943,0.000013777897038380615,-1.469221591949463,-0.0000093777161964681,19.3,0.00475,44.3
,1.9123897222222221,5.616623936010643,0.000013676479284185916,-1.4695675373077393,-0.00000930645637708949,19.3,0.00487,44.3
,1.9129438888888888,5.722718393978236,0.000013734524145547766,-1.4650483131408691,-0.000009374954061058816,19.3,0.0048,44.3
,1.9140566666666667,5.947070991984722,0.000013797204701404553,-1.4585633277893066,-0.000009459449756832328,19.3,0.00464,44.3
,1.9146158333333334,5.7193433955000685,0.00001352624713035766,-1.4535003900527954,-0.000009305888852395583,19.3,0.00473,44.1
,1.9151825,7.151694310443036,0.000013588219189841766,-1.447025179862976,-0.000009390410923515446,19.3,0.0038,44.1
,1.9157272222222224,5.7070512986300805,0.000013554246834246442,-1.4496816396713257,-0.000009349805623060092,19.3,0.00475,44.1
,1.9162816666666664,6.059797945973905,0.000013573947398981545,-1.4522809982299805,-0.000009346622391603887,19.3,0.00448,44.1
,1.9168422222222221,5.929911052449965,0.00001349054764432367,-1.4515726566314697,-0.00000929377529246267,19.3,0.00455,44.1
,1.917393888888889,5.894814777370218,0.000013558073987951502,-1.4538236856460571,-0.000009325824976258446,19.3,0.0046,44.1
,1.9179655555555557,5.9507332848885515,0.000013508164556697011,-1.4541292190551758,-0.00000928952795220539,19.3,0.00454,44.1
,1.9185088888888888,5.734680105549267,0.000013533845049096271,-1.4571821689605713,-0.000009287621651310474,19.3,0.00472,44.1
,1.9190627777777778,5.684737450096625,0.000013671793567482382,-1.460457444190979,-0.000009361297998111695,19.3,0.00481,44.1
,1.9196186111111113,5.8416238365074005,0.000013669399777427316,-1.4638478755950928,-0.000009337985829915851,19.3,0.00468,44.1
,1.9201755555555555,5.815069171342444,0.000013665412552654743,-1.472076654434204,-0.000009283031431550626,19.3,0.0047,44.1
,1.9207316666666667,6.163197531046466,0.000013836378457199316,-1.4725261926651,-0.000009396341738465708,19.3,0.00449,44.1
,1.9213,5.9897049290613875,0.000013836218386131804,-1.4732924699783325,-0.000009391338608111255,19.3,0.00462,44.1
,1.9218441666666668,5.909103789399758,0.000013768211829301436,-1.4682050943374634,-0.000009377671631227713,19.3,0.00466,44.1
,1.9224002777777778,5.682525527447054,0.000013751711776421871,-1.4634709358215332,-0.000009396590940013994,19.3,0.00484,44.1
,1.922961388888889,8.348951650041494,0.000013650535947817843,-1.4656236171722412,-0.000009313891496276483,19.3,0.00327,44.2
,1.9235125000000002,6.794980885231016,0.000013759836292592809,-1.458094596862793,-0.000009436857908440288,19.3,0.00405,44.2
,1.9246422222222224,5.766035364955592,0.00001357901328447042,-1.4570907354354858,-0.000009319268428953364,19.3,0.00471,44.2
,1.9251983333333333,6.013559969788831,0.00001353050993202487,-1.4581921100616455,-0.000009278926881961524,19.3,0.0045,44.2
,1.9257591666666667,5.822470136100743,0.000013682804819836747,-1.4602177143096924,-0.000009370320185553282,19.3,0.0047,44.2
,1.9263105555555555,5.892411487370118,0.000013640932593261823,-1.46234929561615,-0.000009328076885140035,19.3,0.00463,44.2
,1.9268675,5.740724101887204,0.000013749034224019852,-1.4650574922561646,-0.00000938467746891547,19.3,0.00479,44.2
,1.9274397222222224,5.777673695122485,0.00001369308665744029,-1.4680036306381226,-0.000009327702173322905,19.3,0.00474,44.2
,1.9279797222222221,5.81799098608444,0.000013846818546880968,-1.4670578241348267,-0.000009438509550818708,19.3,0.00476,44.2
,1.928536388888889,5.878023749014973,0.000013725185453949962,-1.4686684608459473,-0.000009345352737000212,19.3,0.00467,44.2
,1.9290930555555554,5.8128998274462065,0.000013747508091910277,-1.4644359350204468,-0.000009387658792547882,19.3,0.00473,44.2
,1.9296491666666666,5.577790566545087,0.000013581920029537287,-1.4651885032653809,-0.000009269720976590179,19.3,0.00487,44.2
,1.9302225000000002,5.628557193297324,0.00001378996512357844,-1.4686557054519653,-0.000009389546903548762,19.3,0.0049,44.2
,1.9307627777777778,5.9108040939487205,0.000013624403436551802,-1.466428518295288,-0.000009290859452448785,19.3,0.00461,44.2
,1.9313194444444444,5.734633503823164,0.000013648427739099134,-1.464902639389038,-0.000009316922842117492,19.3,0.00476,44.3
,1.9318805555555556,6.275161660455618,0.00001377397984470008,-1.4713391065597534,-0.000009361466254631523,19.3,0.00439,44.3
,1.9324316666666665,5.878704013233273,0.000013756167390965857,-1.473225712776184,-0.000009337418305221945,19.3,0.00468,44.3
,1.9329886111111112,5.851953420966769,0.000013722830772167072,-1.4749951362609863,-0.000009303620572609361,19.3,0.00469,44.3
,1.9335580555555556,5.668593346418366,0.000013717995898332447,-1.4773305654525757,-0.000009285626219934784,19.3,0.00484,44.3
,1.9341036111111112,5.707325819340533,0.00001372611859551398,-1.4731992483139038,-0.000009317212970927358,19.3,0.00481,44.2
,1.9346594444444445,5.765113458165089,0.000013663318895851262,-1.4690190553665161,-0.00000930099304241594,19.3,0.00474,44.2
,1.9352158333333334,5.849701181509868,0.000013746797776548192,-1.4744088649749756,-0.000009323629456048366,19.3,0.0047,44.2
,1.9357730555555557,5.804861730858917,0.000013873619536752813,-1.4752570390701294,-0.000009404195225215517,19.3,0.00478,44.2
,1.9363752777777778,6.004681771804734,0.000013780744666291866,-1.475487232208252,-0.00000933975024963729,19.3,0.00459,44.2
,1.9368858333333332,5.756138961330697,0.000013728391422773711,-1.476309895515442,-0.00000929913130676141,19.3,0.00477,44.1
,1.9374416666666667,6.064043730845327,0.000013795699487673119,-1.477596640586853,-0.000009336519724456593,19.3,0.00455,44.1
,1.938002777777778,5.9274710478995,0.000013840644896845333,-1.4822059869766235,-0.000009337833034805954,19.3,0.00467,44.1
,1.9385547222222221,5.934010840637302,0.0000138559153128881,-1.4827027320861816,-0.000009345039870822802,19.3,0.00467,44.1
,1.9391111111111112,6.277896359786689,0.00001377998250973178,-1.480881690979004,-0.000009305304956797045,19.3,0.00439,44.1
,1.9397108333333333,6.009236081168096,0.0000137311044454691,-1.4770817756652832,-0.000009296074495068751,19.3,0.00457,44.2
,1.9402233333333334,6.154730925357222,0.000013817370927426964,-1.479442834854126,-0.0000093396010925062,19.3,0.00449,44.2
,1.9407805555555557,5.71980534399916,0.000013698933798877988,-1.4744477272033691,-0.000009290956768381875,19.3,0.00479,44.2
,1.9413694444444445,5.979956926160452,0.000013753900930169038,-1.4670984745025635,-0.000009374979526910465,19.3,0.0046,44.2
,1.941923888888889,5.977414545247299,0.00001380782759952126,-1.4649906158447266,-0.000009425184543943033,19.3,0.00462,44.2
,1.942493888888889,5.824370470986506,0.000013716392459173221,-1.4633880853652954,-0.000009373039574711584,19.3,0.00471,44.2
,1.9430327777777776,7.385139030301743,0.000013736358596361242,-1.4609267711639404,-0.000009402513569511939,19.3,0.00372,44.2
,1.9435875,5.862805087955529,0.000013631021829496603,-1.4568272829055786,-0.000009356633199786302,19.3,0.00465,44.2
,1.9441463888888888,5.852942686735816,0.000013637356460094452,-1.4576807022094727,-0.000009355443580716383,19.3,0.00466,44.2
,1.9446961111111112,5.608000704770415,0.000013571361705544405,-1.4587007761001587,-0.000009303754268330522,19.3,0.00484,44.2
,1.94525,5.663452308605581,0.000013592285540653393,-1.4595816135406494,-0.000009312461770605296,19.3,0.0048,44.2
,1.9458216666666666,5.6858880270738155,0.000013646131264977157,-1.4575693607330322,-0.000009362246601085644,19.3,0.0048,44.2
,1.946358611111111,5.735195468572017,0.000013621089237858541,-1.4543651342391968,-0.000009365611731482204,19.3,0.00475,44.2
,1.9469133333333333,5.653830495370149,0.00001371053895127261,-1.4524304866790771,-0.000009439722816750873,19.3,0.00485,44.2
,1.9474702777777777,5.704723009967367,0.00001352019353362266,-1.454247236251831,-0.000009297163160226773,19.3,0.00474,44.2
,1.9480261111111112,5.612914364113293,0.0000136393819047953,-1.456363320350647,-0.00000936543528951006,19.3,0.00486,44.2
,1.9486008333333333,5.8665511939578066,0.000013581066014012322,-1.4543734788894653,-0.000009338095878774766,19.3,0.00463,44.2
,1.9491416666666666,5.595349332809349,0.000013540745385398623,-1.4537731409072876,-0.00000931424892769428,19.3,0.00484,44.2
,1.9496977777777778,5.643319853624532,0.000013431101251626387,-1.4529906511306763,-0.000009243763088306878,19.3,0.00476,44.2
,1.9502588888888888,5.7911820785177985,0.000013667189705302007,-1.4517505168914795,-0.000009414322448719759,19.3,0.00472,44.2
